date,mean autumn hypolimnetic oxygen concentration
1987,2.28
1988,2.11
1989,1.79
1990,1.36
1991,1.39
1992,1.76
1993,1.85
1994,1.79
1995,1.51
1996,1.75
1997,1.29
1998,1.52
1999,1.83
2000,1.77
2001,1.21
2002,0.56
2003,1.12
2004,1.51
2005,0.33
2006,1.9
2007,0.93
2008,1.21
2009,2.4
2010,2.55
2011,3.46
2012,2.38
2013,2.46
2014,1.93
2015,2.01
2016,1.34
2017,1.62
2018,2.21
2019,1.57
2020,1.47
