date,mean summer surface temperature
1987,24.06
1988,23.32
1989,22.69
1990,23.28
1991,23.17
1992,22.41
1993,22.48
1994,23.82
1995,23.84
1996,21.35
1997,20.94
1998,24.53
1999,23.13
2000,21.87
2001,22.05
2002,23.68
2003,25.67
2004,22.71
2005,23.75
2006,25.46
2007,23.14
2008,23.04
2009,23.54
2010,24.6
2011,21.82
2012,23.75
2013,24.99
2014,23.12
2015,26.87
2016,22.88
2017,25.0
2018,24.87
2019,25.98
2020,24.21
2021,23.56
2022,26.59
2023,25.33
