date,mean autumn Schmidt stability
1987,14418.87
1988,15431.55
1989,17723.73
1990,21430.77
1991,18433.8
1992,16584.57
1993,13217.03
1994,15443.05
1995,18021.73
1996,15129.47
1997,21542.26
1998,16564.73
1999,17178.76
2000,15220.15
2001,16872.62
2002,15007.0
2003,14000.15
2004,19249.0
2005,18958.95
2006,21315.17
2007,18597.2
2008,15344.37
2009,18351.83
2010,18317.74
2011,19587.38
2012,19891.09
2013,18706.54
2014,21326.76
2015,20286.27
2016,22422.26
2017,21214.77
2018,20604.23
2019,23407.12
2020,18265.13
2021,18627.91
2022,23079.58
2023,25989.76
