date,mean annual bottom density
1988,1000.1387
1989,1000.1375
1990,1000.1427
1991,1000.1432
1992,1000.1397
1993,1000.1448
1994,1000.1337
1995,1000.1337
1996,1000.1326
1997,1000.1319
1998,1000.1312
1999,1000.1313
2000,1000.1298
2001,1000.1287
2002,1000.1278
2003,1000.1266
2004,1000.1271
2005,1000.1252
2006,1000.1299
2007,1000.1306
2008,1000.13
2009,1000.1295
2010,1000.1298
2011,1000.1301
2012,1000.1302
2013,1000.1345
2014,1000.136
2015,1000.1357
2016,1000.1336
2017,1000.133
2018,1000.1345
2019,1000.134
2020,1000.1329
