date,minimum bottom temperature
1987,5.49
1988,5.58
1989,5.4
1990,5.46
1991,5.49
1992,5.59
1993,5.52
1994,5.54
1995,5.56
1996,5.59
1997,5.6
1998,5.68
1999,5.73
2000,5.78
2001,5.82
2002,5.86
2003,5.89
2004,5.91
2005,5.55
2006,5.39
2007,5.47
2008,5.53
2009,5.6
2010,5.65
2011,5.7
2012,5.73
2013,5.75
2014,5.76
2015,5.78
2016,5.8
2017,5.82
2018,5.86
2019,5.9
2020,5.94
2021,5.97
2022,6.02
