date,mean autumn surface oxygen concentration
1987,8.85
1988,7.33
1989,8.78
1990,7.82
1991,7.81
1992,8.45
1993,8.48
1994,7.48
1995,10.2
1996,8.74
1997,8.63
1998,7.93
1999,9.28
2000,9.13
2001,9.19
2002,8.26
2003,8.33
2004,8.53
2005,8.71
2006,8.1
2007,8.74
2008,8.5
2009,8.08
2010,8.52
2011,9.77
2012,9.2
2013,8.23
2014,9.05
2015,8.99
2016,7.99
2017,9.41
2018,9.89
2019,8.2
2020,8.29
2021,10.02
2022,8.41
2023,8.42
