date,mean autumn epilimnion 5-10 m oxygen concentration
1987,7.12
1988,7.07
1989,8.7
1990,8.13
1991,8.28
1992,8.51
1993,8.22
1994,7.33
1995,9.31
1996,8.71
1997,8.61
1998,7.82
1999,8.84
2000,8.87
2001,9.36
2002,7.83
2003,8.64
2004,9.19
2005,8.76
2006,7.67
2007,9.2
2008,8.61
2009,8.29
2010,8.49
2011,10.83
2012,8.96
2013,8.1
2014,8.73
2015,8.93
2016,8.02
2017,9.28
2018,10.27
2019,8.57
2020,8.38
2021,9.2
2022,8.34
2023,8.85
