date,mean early autumn Schmidt stability
1987,21616.17
1988,22406.38
1989,25880.66
1990,26993.83
1991,28641.41
1992,23964.32
1993,19715.26
1994,23025.94
1995,22549.19
1996,18612.91
1997,30532.1
1998,24796.6
1999,25115.64
2000,23249.43
2001,21103.21
2002,22833.27
2003,24305.83
2004,26335.27
2005,25798.77
2006,26247.19
2007,26098.08
2008,22098.76
2009,27031.76
2010,24800.45
2011,27229.9
2012,26335.26
2013,26599.18
2014,25548.5
2015,27889.53
2016,34245.12
2017,28197.3
2018,29960.59
2019,32385.23
2020,30198.14
2021,26584.97
2022,33250.15
2023,33078.14
