Site,Date,Secchi depth [m]
Figino,08.01.1974,9
Figino,12.02.1974,8.5
Figino,12.03.1974,4.3
Figino,02.04.1974,1.8
Figino,23.04.1974,2.5
Figino,28.05.1974,1.5
Figino,23.07.1974,1.8
Figino,09.09.1974,2.7
Figino,08.10.1974,4.2
Figino,07.11.1974,4.8
Figino,10.12.1974,7.6
Figino,24.03.1975,4
Figino,21.07.1975,1.9
Figino,30.07.1975,2
Figino,22.09.1975,1.9
Figino,09.12.1975,6.5
Figino,02.02.1976,7.5
Figino,15.03.1976,2.9
Figino,06.04.1976,1.3
Figino,03.05.1976,2
Figino,10.06.1976,2.9
Figino,05.07.1976,1.9
Figino,24.08.1976,1.2
Figino,08.09.1976,1.8
Figino,12.10.1976,2.3
Figino,24.11.1976,5.4
Figino,13.12.1976,7.1
Figino,26.01.1977,4.8
Figino,12.04.1977,3.5
Figino,24.05.1977,1.8
Figino,12.07.1977,2
Figino,16.08.1977,2
Figino,04.10.1977,2.2
Figino,14.11.1977,4.4
Figino,17.05.1978,1.9
Figino,05.09.1978,1.4
Figino,23.01.1979,10.2
Figino,31.05.1979,3.8
Figino,06.03.1980,3.7
Figino,24.06.1980,1.6
Figino,16.09.1980,1.3
Figino,10.12.1980,5.7
Figino,10.03.1981,5.3
Figino,20.10.1981,1
Figino,26.01.1982,7
Figino,10.02.1982,7
Figino,25.02.1982,6.5
Figino,26.05.1982,4.6
Figino,16.06.1982,1.6
Figino,23.07.1982,1.9
Figino,30.08.1982,1.4
Figino,28.09.1982,1.2
Figino,28.10.1982,1.8
Figino,24.11.1982,2.5
Figino,21.12.1982,4.2
Figino,27.01.1983,5.2
Figino,17.02.1983,6
Figino,17.03.1983,3.8
Figino,14.04.1983,3.2
Figino,25.05.1983,1.8
Figino,14.06.1983,2
Figino,12.07.1983,2.2
Figino,09.08.1983,1.9
Figino,27.09.1983,1.6
Figino,18.10.1983,3.2
Figino,15.11.1983,3.1
Figino,13.12.1983,6.6
Figino,17.01.1984,6.4
Figino,14.02.1984,8
Figino,27.03.1984,2.2
Figino,18.04.1984,3.5
Figino,15.05.1984,2
Figino,13.06.1984,2.4
Figino,24.07.1984,2.4
Figino,07.08.1984,2
Figino,11.09.1984,1.9
Figino,16.10.1984,1.9
Figino,13.11.1984,2.7
Figino,11.12.1984,4.5
Figino,22.01.1985,5.3
Figino,21.02.1985,5.3
Figino,14.03.1985,3.9
Figino,28.03.1985,4.4
Figino,11.04.1985,2
