date (yyyy-mm-dd HH:MM:SS),thermocline depth [m]
07.10.1991 12:00,15.4
04.11.1991 12:00,19.0
03.12.1991 12:00,28.2
06.04.1992 12:00,0.8
04.05.1992 12:00,5.0
01.06.1992 12:00,3.7
06.07.1992 12:00,4.5
03.08.1992 12:00,6.6
07.09.1992 12:00,16.9
05.10.1992 12:00,15.6
02.11.1992 12:00,22.8
05.04.1993 12:00,7.0
03.05.1993 12:00,3.6
07.06.1993 12:00,1.9
05.07.1993 12:00,2.5
02.08.1993 12:00,2.4
01.09.1993 12:00,18.5
04.10.1993 12:00,20.5
01.11.1993 12:00,24.4
02.05.1994 12:00,4.5
06.06.1994 12:00,19.6
04.07.1994 12:00,2.6
08.08.1994 12:00,7.4
05.09.1994 12:00,13.1
03.10.1994 12:00,17.5
07.11.1994 12:00,20.9
05.12.1994 12:00,25.9
03.05.1995 12:00,2.5
06.06.1995 12:00,4.5
03.07.1995 12:00,5.5
07.08.1995 12:00,4.5
04.09.1995 12:00,25.5
02.10.1995 12:00,22.2
06.11.1995 12:00,24.6
04.12.1995 12:00,32.7
05.02.1996 12:00,36.0
01.04.1996 12:00,17.2
06.05.1996 12:00,4.3
03.06.1996 12:00,3.6
01.07.1996 12:00,12.8
05.08.1996 12:00,3.9
02.09.1996 12:00,13.5
07.10.1996 12:00,18.6
04.11.1996 12:00,22.0
02.12.1996 12:00,31.2
01.04.1997 12:00,6.0
05.05.1997 12:00,3.5
02.06.1997 12:00,5.5
07.07.1997 12:00,4.5
04.08.1997 12:00,1.9
01.09.1997 12:00,6.8
06.10.1997 12:00,16.4
03.11.1997 12:00,24.5
01.12.1997 12:00,27.0
06.04.1998 12:00,7.1
04.05.1998 12:00,5.5
08.06.1998 12:00,10.5
06.07.1998 12:00,4.6
03.08.1998 12:00,12.0
07.09.1998 10:00,12.0
05.10.1998 12:00,19.5
02.11.1998 12:00,24.4
06.04.1999 12:00,1.8
03.05.1999 12:00,1.9
07.06.1999 12:00,22.1
05.07.1999 12:00,2.6
02.08.1999 12:00,3.4
06.09.1999 12:00,3.1
04.10.1999 12:00,16.5
01.11.1999 12:00,21.4
06.12.1999 12:00,0.8
03.04.2000 12:00,0.8
08.05.2000 12:00,1.8
05.06.2000 12:00,4.3
03.07.2000 12:00,2.5
07.08.2000 12:00,20.1
04.09.2000 12:00,9.6
02.10.2000 12:00,21.1
06.11.2000 12:00,21.0
04.12.2000 12:00,28.0
02.04.2001 12:00,3.8
07.05.2001 12:00,2.4
11.06.2001 12:00,4.5
02.07.2001 12:00,2.6
06.08.2001 12:00,3.7
03.09.2001 12:00,6.1
01.10.2001 12:00,22.6
05.11.2001 12:00,23.1
03.12.2001 12:00,32.5
07.01.2002 12:00,36.0
08.04.2002 12:00,4.6
06.05.2002 12:00,10.4
03.06.2002 12:00,1.3
01.07.2002 12:00,1.8
05.08.2002 12:00,6.2
02.09.2002 12:00,19.0
07.10.2002 12:00,20.7
04.11.2002 12:00,26.5
07.04.2003 12:00,17.7
05.05.2003 12:00,3.9
02.06.2003 12:00,2.4
07.07.2003 12:00,7.8
04.08.2003 12:00,4.9
01.09.2003 12:00,9.2
06.10.2003 12:00,11.2
03.11.2003 12:00,20.5
01.12.2003 12:00,24.2
05.04.2004 12:00,8.0
03.05.2004 12:00,2.6
07.06.2004 12:00,1.9
05.07.2004 12:00,3.5
02.08.2004 12:00,2.6
06.09.2004 12:00,3.4
04.10.2004 12:00,9.7
01.11.2004 12:00,17.5
06.12.2004 12:00,30.9
08.02.2005 12:00,36.0
07.03.2005 12:00,36.0
04.04.2005 12:00,4.6
02.05.2005 12:00,2.5
06.06.2005 12:00,2.5
04.07.2005 12:00,4.6
08.08.2005 12:00,11.3
05.09.2005 12:00,1.9
03.10.2005 12:00,21.6
07.11.2005 12:00,20.1
05.12.2005 12:00,27.6
08.05.2006 12:00,2.5
07.08.2006 12:00,9.2
04.09.2006 12:00,2.4
06.11.2006 12:00,19.7
07.05.2007 12:00,7.7
06.08.2007 12:00,3.4
03.09.2007 12:00,3.9
05.11.2007 12:00,22.5
05.05.2008 12:00,2.5
04.08.2008 12:00,4.1
01.09.2008 12:00,4.9
03.11.2008 12:00,24.0
04.05.2009 12:00,5.0
03.08.2009 12:00,4.6
07.09.2009 12:00,17.0
02.11.2009 12:00,18.5
01.02.2010 12:00,36.0
03.05.2010 12:00,8.5
02.08.2010 12:00,2.5
06.09.2010 12:00,20.6
01.11.2010 12:00,24.4
07.02.2011 12:00,36.0
09.05.2011 12:00,4.6
08.08.2011 12:00,3.4
05.09.2011 12:00,5.4
07.11.2011 12:00,19.6
07.05.2012 12:00,7.0
06.08.2012 12:00,4.6
17.09.2012 12:00,15.0
05.11.2012 12:00,24.6
13.05.2013 12:00,4.9
05.08.2013 12:00,4.4
02.09.2013 12:00,10.4
04.11.2013 12:00,19.5
05.05.2014 12:00,5.4
04.08.2014 12:00,15.9
01.09.2014 12:00,14.5
03.11.2014 12:00,19.5
04.05.2015 12:00,2.5
03.08.2015 12:00,9.6
07.09.2015 12:00,11.0
02.11.2015 12:00,18.4
02.05.2016 12:00,15.6
08.08.2016 12:00,2.9
13.09.2016 12:00,3.5
07.11.2016 12:00,20.5
08.05.2017 12:00,9.2
07.08.2017 12:00,4.9
04.09.2017 12:00,13.3
06.11.2017 12:00,19.0
07.05.2018 12:00,3.5
06.08.2018 12:00,8.4
03.09.2018 12:00,12.0
05.11.2018 12:00,16.0
04.03.2019 12:00,3.6
06.05.2019 12:00,9.2
05.08.2019 12:00,4.5
02.09.2019 12:00,4.7
04.11.2019 12:00,19.6
04.05.2020 12:00,6.6
03.08.2020 12:00,4.8
07.09.2020 12:00,13.7
02.11.2020 12:00,20.1
01.03.2021 12:00,4.6
03.05.2021 12:00,9.3
02.08.2021 12:00,19.7
06.09.2021 12:00,3.5
01.11.2021 12:00,20.1
02.05.2022 12:00,3.6
08.08.2022 12:00,7.8
05.09.2022 12:00,9.4
07.11.2022 12:00,17.7
15.05.2023 12:00,4.8
07.08.2023 12:00,12.1
04.09.2023 12:00,2.9
06.11.2023 12:00,19.6
