date (yyyy-mm-dd HH:MM:SS),surface temperature [°C]
10.01.1972 12:00,4.5
07.02.1972 12:00,3.5
06.03.1972 12:00,4.95
10.04.1972 12:00,9.1
15.05.1972 12:00,10.35
05.06.1972 12:00,16.1
03.07.1972 12:00,15.9
16.08.1972 12:00,19.25
04.09.1972 12:00,16.65
11.10.1972 12:00,12.8
08.11.1972 12:00,9.6
06.12.1972 12:00,5.2
15.01.1973 12:00,2.9
14.02.1973 12:00,2.9
07.03.1973 12:00,3.15
03.04.1973 12:00,4.7
09.05.1973 12:00,9.7
05.06.1973 12:00,16.6
04.07.1973 12:00,20.9
08.08.1973 12:00,19.5
28.08.1973 12:00,19.9
02.10.1973 12:00,14.8
30.10.1973 12:00,10.3
03.12.1973 12:00,5.75
08.01.1974 12:00,3.85
20.02.1974 12:00,4.0
19.03.1974 12:00,4.95
16.04.1974 12:00,9.5
14.05.1974 12:00,11.75
11.06.1974 12:00,12.7
25.06.1974 12:00,16.55
09.07.1974 12:00,17.55
06.08.1974 12:00,19.25
03.09.1974 12:00,18.5
01.10.1974 12:00,13.4
29.10.1974 12:00,9.2
26.11.1974 12:00,6.9
19.12.1974 12:00,5.0
21.01.1975 12:00,4.45
17.02.1975 12:00,4.1
18.03.1975 12:00,5.3
15.04.1975 12:00,6.65
13.05.1975 12:00,11.35
09.06.1975 12:00,14.1
08.07.1975 12:00,18.8
05.08.1975 12:00,20.7
09.09.1975 12:00,16.75
30.09.1975 12:00,16.2
28.10.1975 12:00,11.65
25.11.1975 12:00,8.65
22.12.1975 12:00,5.95
13.01.1976 12:00,4.75
09.02.1976 12:00,2.7
08.03.1976 12:00,3.75
05.04.1976 12:00,9.95
03.05.1976 12:00,12.05
14.06.1976 12:00,19.5
15.07.1976 12:00,22.7
02.08.1976 12:00,17.0
06.09.1976 12:00,16.75
04.10.1976 12:00,15.5
01.11.1976 12:00,11.85
06.12.1976 12:00,6.95
03.01.1977 12:00,3.8
07.02.1977 12:00,4.2
07.03.1977 12:00,6.3
04.04.1977 12:00,8.2
02.05.1977 12:00,8.95
06.06.1977 12:00,14.0
04.07.1977 12:00,20.4
08.08.1977 12:00,18.75
05.09.1977 12:00,18.35
03.10.1977 12:00,14.55
07.11.1977 12:00,13.5
05.12.1977 12:00,6.9
09.01.1978 12:00,5.0
06.02.1978 12:00,4.0
08.03.1978 12:00,3.95
05.04.1978 12:00,8.45
08.05.1978 12:00,10.1
05.06.1978 12:00,18.65
05.07.1978 12:00,14.4
09.08.1978 12:00,16.4
06.09.1978 12:00,16.65
02.10.1978 12:00,13.95
06.11.1978 12:00,10.8
04.12.1978 12:00,7.1
08.01.1979 12:00,4.45
05.02.1979 12:00,3.45
05.03.1979 12:00,4.25
02.04.1979 12:00,7.55
07.05.1979 12:00,8.6
05.06.1979 12:00,18.55
02.07.1979 12:00,16.1
06.08.1979 12:00,21.35
11.09.1979 12:00,19.25
01.10.1979 12:00,15.05
05.11.1979 12:00,11.3
03.12.1979 12:00,7.55
07.01.1980 12:00,4.55
04.02.1980 12:00,3.4
03.03.1980 12:00,4.2
02.04.1980 12:00,6.55
05.05.1980 12:00,9.8
02.06.1980 12:00,11.45
07.07.1980 12:00,13.45
11.08.1980 12:00,20.5
01.09.1980 12:00,16.8
06.10.1980 12:00,16.8
03.11.1980 12:00,10.85
01.12.1980 12:00,6.9
05.01.1981 12:00,3.8
09.02.1981 12:00,2.8
02.03.1981 12:00,3.0
06.04.1981 12:00,7.85
04.05.1981 12:00,8.6
01.06.1981 12:00,16.05
06.07.1981 12:00,19.55
03.08.1981 12:00,19.15
