gauge_id,sensor_id,nawaf_id,nawat_id,isot_id,chirp_id,gauge_name,water_body_name,gauge_easting,gauge_northing,gauge_lon,gauge_lat,area,area_swiss_perc,Q,level,gauge_name_nawaf,gauge_easting_nawaf,gauge_northing_nawaf,area_nawaf,foen_nawaf_dist,gauge_name_nawat,gauge_easting_nawat,gauge_northing_nawat,area_nawat,foen_nawat_dist,q_nawat_corrector,remarks
2126,2126.0,,,,2126.0,Wängi,Murg,2714105,1261720,8.95,47.5,80.1,100.0,ok,ok,,,,,,,,,,,,
2130,2130.0,1826.0,,,,Laufenburg,Rhein (Oberwasser),2646000,1267410,8.05,47.56,34010.3,78.7,ok,ok,Laufenburg,2646000.0,1267410.0,34010.3,0.0,,,,,,,"no 10min data for Q at id_2130, possibly compartible with id_2103"
2135,2135.0,1830.0,,,,"Bern, Schönau",Aare,2600710,1198000,7.45,46.93,2941.2,100.0,ok,ok,"Bern, Schönau",2600710.0,1198000.0,2941.2,0.0,,,,,,,
2139,2139.0,,1768.0,,,St. Margrethen,Rheintaler Binnenkanal,2767194,1257810,9.66,47.45,174.9,91.7,ok,ok,,,,,,St.Margrethen,2767160.0,1257780.0,174.948989071,0.0,1.0,
2143,2143.0,1825.0,1825.0,,,Rekingen,Rhein,2667060,1269230,8.33,47.57,14719.1,58.7,ok,ok,Rekingen,2667060.0,1269230.0,14719.1,0.0,Rekingen,2667060.0,1269230.0,14719.0652898,0.0,1.0,
2150,2150.0,,1988.0,,,Felsenbach,Landquart,2765364,1204910,9.61,46.97,613.7,83.9,ok,ok,,,,,,Felsenbach,2765365.0,1204910.0,613.7475162239999,0.0,1.0,
2152,2152.0,,1176.0,,,"Luzern, Geissmattbrücke",Reuss,2665330,1211800,8.3,47.05,2254.0,100.0,ok,ok,,,,,,"Luzern, Bahnhof",2666210.0,1211525.0,2242.67008286,0.9,0.995,
2155,,,6315.0,,,"Wiler, Limpachmündung",Emme,2608220,1223240,7.55,47.16,924.1,100.0,ok,ok,,,,,,"Gerlafingen, Brücke nach Biberist",2609527.0,1225566.0,924.578661332,3.3,0.987,Q from id_0155
2159,2159.0,,1887.0,,,"Belp, Mülimatt",Gürbe,2604810,1192680,7.5,46.89,116.1,100.0,ok,ok,,,,,,Belpmatten,2603625.0,1196600.0,129.355906193,4.5,1.114,
2160,,,2025.0,,,"Broc, Château d'en bas",Sarine,2573520,1161345,7.09,46.6,636.2,100.0,ok,ok,,,,,,"Broc, Halte des Marches",2573520.0,1161345.0,636.2482849349999,0.0,1.0,
2161,2161.0,,,,,Blatten bei Naters,Massa,2643700,1137290,8.01,46.39,195.5,100.0,ok,ok,,,,,,,,,,,,
2167,2167.0,,1414.0,,,"Ponte Tresa, Rocchetta",Tresa,2709580,1192145,8.85,45.97,609.1,18.6,ok,ok,,,,,,Ponte Tresa,2709800.0,1192145.0,609.09510452,0.4,1.0,
2170,2170.0,,1556.0,,,"Genève, Bout du Monde",Arve,2501220,1115120,6.16,46.18,1975.8,9.6,ok,ok,,,,,,Passerelle E. de Médecine,2498650.0,1117400.0,1982.01586766,3.4,1.003,
2174,2174.0,1838.0,1838.0,NIO09,,"Chancy, Aux Ripes",Rhône,2486600,1112340,5.97,46.15,10312.7,73.6,ok,ok,"Chancy, Aux Ripes",2486600.0,1112340.0,10312.7,0.0,Chancy,2486600.0,1112340.0,10312.7090625,0.2,1.0,
2176,2176.0,,1017.0,,,"Zürich, Sihlhölzli",Sihl,2682145,1246890,8.53,47.37,342.6,100.0,ok,ok,,,,,,Sihlhölzli,2682142.0,1246886.0,342.573730074,0.1,1.0,
2179,2179.0,3717.0,1117.0,,2179.0,"Thörishaus, Sensematt",Sense,2593350,1193020,7.35,46.89,351.2,100.0,ok,ok,"Thörishaus, Sensematt",2593350.0,1193020.0,351.2,0.0,Riedernbrücke R,2593480.0,1192912.0,351.174749549,0.2,1.0,
2181,2181.0,,,,,Halden,Thur,2733560,1263180,9.21,47.51,1085.0,100.0,ok,ok,,,,,,,,,,,,
2202,,,1307.0,,2202.0,Liestal,Ergolz,2622270,1259750,7.73,47.49,261.2,100.0,ok,ok,,,,,,"Augst, Autobahn",2620950.0,1264930.0,284.647126157,5.9,1.09,
2203,,,2115.0,,,Aigle,Grande Eau,2563960,1129860,6.97,46.32,131.6,100.0,ok,ok,,,,,,"Aigle, Autoroute",2561112.0,1130518.0,144.375805744,3.0,1.097,
2205,2205.0,,1344.0,,,"Untersiggenthal, Stilli",Aare,2659970,1263180,8.23,47.52,17553.3,100.0,ok,ok,,,,,,Felsenau,2658950.0,1273050.0,17709.1362571,12.2,1.009,
2210,2210.0,,2032.0,,,Ocourt,Doubs,2572530,1244460,7.08,47.35,1275.4,95.6,ok,ok,,,,,,"Ocourt, Pesses des Vernes",2572573.0,1244499.0,1275.4380064000002,0.0,1.0,
2215,,,1912.0,,,Laupen,Saane,2584440,1195300,7.23,46.91,1861.8,100.0,ok,ok,,,,,,Marfeldingen,2585905.0,1203017.0,1892.86210594,8.8,1.017,
2232,2232.0,,,,,Adelboden,Allenbach,2608710,1148300,7.55,46.49,28.8,100.0,ok,ok,,,,,,,,,,,,
2243,2243.0,1836.0,1345.0,,,"Baden, Limmatpromenade",Limmat,2665640,1258690,8.31,47.48,2393.7,100.0,ok,ok,Gebenstorf,2660530.0,1260770.0,2412.0,7.1,Turgi,2661300.0,1260850.0,2412.38287412,6.7,1.008,"Data merged with 2622, Gebenstorf, Limmat"
2256,2256.0,,,,,Pontresina,Rosegbach,2788810,1151690,9.9,46.49,66.5,100.0,ok,ok,,,,,,,,,,,,
2265,2265.0,,,,,Tarasp,Inn,2816800,1185910,10.28,46.79,1580.8,99.9,ok,ok,,,,,,,,,,,,
2269,2269.0,,,,,Blatten,Lonza,2629130,1140910,7.82,46.42,77.4,100.0,ok,ok,,,,,,,,,,,,
2276,2276.0,,,,,Isenthal,Grosstalbach,2685500,1196050,8.56,46.91,43.9,100.0,ok,ok,,,,,,,,,,,,
2282,2282.0,,,,,"Wasen, Kurzeneialp",Sperbelgraben,2630725,1207270,7.84,47.02,0.6,100.0,ok,ok,,,,,,,,,,,,
2288,2288.0,,1318.0,,,"Neuhausen, Flurlingerbrücke",Rhein,2689145,1281975,8.63,47.68,11882.2,48.8,ok,ok,,,,,,Stein am Rhein,2706700.0,1279600.0,11485.0392577,21.4,0.967,
2290,2290.0,,,,,St-Sulpice,Areuse,2532980,1195880,6.56,46.91,104.1,100.0,ok,ok,,,,,,,,,,,,
2307,2307.0,,,,,Sonceboz,Suze,2579810,1227350,7.17,47.2,127.2,100.0,ok,ok,,,,,,,,,,,,
2308,2308.0,,,,,"Goldach, Bleiche",Goldach,2753190,1261590,9.47,47.49,50.4,100.0,ok,ok,,,,,,,,,,,,
2312,,,1402.0,,2312.0,"Salmsach, Hungerbühl",Aach,2744410,1268400,9.36,47.55,47.4,100.0,ok,ok,,,,,,Salmsach,2744400.0,1268400.0,47.3842563798,0.3,1.0,
2327,2327.0,,,,2327.0,"Davos, Kriegsmatte",Dischmabach,2786220,1183370,9.88,46.78,42.9,100.0,ok,ok,,,,,,,,,,,,
2343,2343.0,,,,2343.0,"Huttwil, Häberenbad",Langeten,2629560,1219135,7.83,47.12,59.9,100.0,ok,ok,,,,,,,,,,,,
2346,,,3938.0,,,Brig,Rhone (Rotten),2641340,1129700,7.98,46.32,906.1,100.0,ok,ok,,,,,,Amont STEP Brig,2639626.0,1128790.0,909.191710148,2.0,1.003,
2347,2347.0,,,,,"Roveredo, Bacino di compenso",Riale di Roggiasca,2733545,1118160,9.17,46.2,8.1,0.0,ok,ok,,,,,,,,,,,,
2351,2351.0,,4057.0,,,Visp,Vispa,2634030,1125900,7.88,46.28,785.8,100.0,ok,ok,,,,,,Visp,2634030.0,1125898.0,785.8376845219999,0.0,1.0,
2356,2356.0,,,,2356.0,"Cavergno, Pontit",Riale di Calneggia,2684970,1135960,8.54,46.37,23.9,100.0,ok,ok,,,,,,,,,,,,
2366,2366.0,,,,,La Rösa,Poschiavino,2802120,1142010,10.07,46.4,14.1,100.0,ok,ok,,,,,,,,,,,,
2368,,,2035.0,,,"Locarno, Solduno",Maggia,2703100,1113860,8.77,46.17,928.8,100.0,ok,ok,,,,,,"Locarno, Solduno",2703100.0,1113860.0,928.838503583,0.0,1.0,
2369,2369.0,,2119.0,,2369.0,"Yvonand, La Mauguettaz",Mentue,2545440,1180875,6.72,46.78,105.3,100.0,ok,ok,,,,,,La Mauguettaz,2545385.0,1180958.0,105.298277225,0.1,1.0,
2372,2372.0,,1973.0,,,"Mollis, Linthbrücke",Linth,2723985,1217965,9.07,47.1,600.2,100.0,ok,ok,,,,,,"Mollis, Gäsi",2726285.0,1220260.0,600.3937211189999,3.6,1.0,
2374,2374.0,,2991.0,,,"Mogelsberg, Aachsäge",Necker,2727110,1247290,9.12,47.36,88.1,100.0,ok,ok,,,,,,"Ob Thur, Lütisburg",2724320.0,1250420.0,125.096912243,7.6,1.42,
2386,2386.0,4879.0,4879.0,,,Frauenfeld,Murg,2709540,1269660,8.89,47.57,213.3,100.0,ok,ok,Frauenfeld,2709540.0,1269660.0,213.3,0.0,Frauenfeld,2709540.0,1269660.0,213.294904447,0.0,1.0,
2387,,,6055.0,,,Fürstenau,Hinterrhein,2753570,1175730,9.45,46.72,1576.9,98.7,ok,ok,,,,,,Rothenbrunnen,2751350.0,1181750.0,1663.69539758,6.5,1.055,
2392,2392.0,,,,,Rheinau,Rhein (Oberwasser),2687420,1277140,8.6,47.64,11902.5,48.9,,,,,,,,,,,,,,
2410,2410.0,,,,,Ruggell,Liechtensteiner Binnenkanal,2757750,1234590,9.52,47.24,114.5,48.7,ok,ok,,,,,,,,,,,,
2412,,,1779.0,,,"Vuippens, Château",Sionge,2572420,1167540,7.08,46.66,43.4,100.0,ok,ok,,,,,,Vuippens,2572350.0,1167620.0,43.3975405913,0.1,1.0,
2414,2414.0,,,,,"Mosnang, Rietholz",Rietholzbach,2718840,1248440,9.01,47.38,3.2,100.0,ok,ok,,,,,,,,,,,,
2415,2415.0,1824.0,1824.0,,,Rheinsfelden,Glatt,2678040,1269720,8.48,47.57,417.4,100.0,ok,ok,Rheinsfelden,2678040.0,1269720.0,417.4,0.0,Rheinsfelden,2678040.0,1269720.0,417.384213493,0.0,1.0,
2420,,,2033.0,,,"Lumino, Sassello",Moesa,2724765,1120360,9.06,46.22,471.9,34.3,ok,ok,,,,,,Lumino,2724765.0,1120360.0,471.867908559,0.0,1.0,
2432,2432.0,,1419.0,,,"Ecublens, Les Bois",Venoge,2532040,1154160,6.55,46.54,227.6,100.0,ok,ok,,,,,,"Ecublens, Les Bois",2531987.0,1153957.0,227.61256032300005,0.2,1.0,
2433,2433.0,,1536.0,,,"Allaman, Le Coulet",Aubonne,2520720,1147410,6.41,46.47,105.3,100.0,ok,ok,,,,,,"Allaman, Le Coulet",2520709.0,1147450.0,105.328348229,0.0,1.0,
2434,2434.0,,1288.0,,,"Olten, Hammermühle",Dünnern,2634330,1244480,7.89,47.35,233.8,100.0,ok,ok,,,,,,"Olten, Hammer",2634040.0,1244060.0,233.788178103,0.5,1.0,
2450,,,1387.0,,,Zofingen,Wigger,2637580,1237080,7.94,47.28,366.2,100.0,ok,ok,,,,,,Zofingen,2637200.0,1238425.0,367.658360339,1.4,1.004,
2457,2457.0,,,,,"Ringgenberg, Goldswil",Aare,2633730,1171510,7.88,46.69,1137.6,100.0,ok,ok,,,,,,,,,,,,
2458,,,1458.0,,,Valangin,Seyon,2559370,1206810,6.9,47.01,112.3,100.0,ok,ok,,,,,,Valangin,2559360.0,1206810.0,112.314247781,0.4,1.0,
2462,2462.0,2064.0,2064.0,NIO06,,S-chanf,Inn,2795800,1165910,10.0,46.62,616.0,99.9,ok,,S-chanf,2795800.0,1165910.0,616.0,3.0,S-chanf,2795800.0,1165910.0,615.950719329,0.0,1.0,Q data calculated by id_0403 *0.9
2467,2467.0,1831.0,,,,Gümmenen,Saane,2585100,1199240,7.24,46.94,1881.3,100.0,ok,ok,Gümmenen,2585100.0,1199240.0,1881.3,5.3,,,,,,,Q data from Laupen id_2215 without correction factor
2468,,,3006.0,,,"St. Gallen, Bruggen / Au",Sitter,2742540,1253230,9.33,47.41,261.1,100.0,ok,ok,,,,,,Leebrugg,2745500.0,1258330.0,287.820335323,9.3,1.102,
2469,,,3769.0,,,Hondrich,Kander,2617790,1168400,7.67,46.67,490.7,100.0,ok,ok,,,,,,Brücke bei Aeschi,2618676.0,1166822.0,487.086477686,2.0,0.993,
2473,2473.0,1821.0,1821.0,NIO03,,"Diepoldsau, Rietbrücke",Rhein,2766280,1250360,9.64,47.38,6297.4,75.3,ok,ok,"Diepoldsau, Rietbrücke",2766280.0,1250360.0,6297.4,0.0,Diepoldsau,2766280.0,1250360.0,6297.398672390001,0.0,1.0,Station was moved from Schmitter to Diepoldsau in 1984; including data from Schmitter id_2190
2475,,,6060.0,,,"Bignasco, Ponte nuovo",Maggia,2690040,1132550,8.61,46.34,315.5,100.0,ok,ok,,,,,,Brontallo,2692895.0,1134921.0,170.94120799200002,2.9,0.542,
2477,,,1264.0,,,"Zug, Letzi",Lorze,2680600,1226070,8.5,47.18,100.2,100.0,ok,ok,,,,,,Letzi,2680625.0,1226100.0,100.246609535,0.0,1.0,
2478,,,1497.0,,,"Soyhières, Bois du Treuil",Birse,2596780,1249070,7.4,47.39,569.5,100.0,ok,ok,,,,,,Les Riedes-Dessus,2597675.0,1249340.0,572.7804091849999,1.3,1.006,Station moved in 1986?
