date,crop_perc,dwood_perc,ewood_perc,grass_perc,ice_perc,inwater_perc,loose_rock_perc,mixed_wood_perc,rock_perc,scrub_perc,urban_perc,wetlands_perc
2000.0,32.9,1.38,14.27,17.22,2.01,3.74,1.54,14.85,3.62,0.82,6.86,0.79
2001.0,32.9,1.37,14.21,17.2,2.01,3.74,1.55,14.87,3.62,0.87,6.87,0.8
2002.0,32.9,1.37,14.15,17.19,2.0,3.74,1.55,14.89,3.61,0.91,6.88,0.8
2003.0,32.91,1.36,14.09,17.17,2.0,3.74,1.56,14.91,3.61,0.96,6.89,0.8
2004.0,32.91,1.35,14.02,17.16,2.0,3.74,1.57,14.92,3.61,1.01,6.91,0.81
2005.0,32.91,1.35,13.96,17.14,1.99,3.74,1.57,14.94,3.6,1.05,6.92,0.81
2006.0,32.91,1.34,13.9,17.13,1.99,3.74,1.58,14.96,3.6,1.1,6.93,0.82
2007.0,32.69,1.51,13.7,17.09,1.93,3.74,1.71,14.79,3.52,1.34,6.98,1.0
2008.0,32.46,1.67,13.5,17.04,1.87,3.75,1.84,14.62,3.45,1.57,7.04,1.18
2009.0,32.24,1.83,13.3,17.0,1.81,3.75,1.97,14.46,3.37,1.81,7.09,1.36
2010.0,32.02,2.0,13.11,16.96,1.76,3.75,2.09,14.29,3.29,2.05,7.14,1.55
2011.0,31.79,2.17,12.91,16.91,1.7,3.76,2.22,14.12,3.22,2.28,7.2,1.73
2012.0,31.57,2.33,12.71,16.87,1.64,3.76,2.35,13.95,3.14,2.52,7.25,1.91
2013.0,31.57,2.33,12.71,16.87,1.63,3.76,2.35,13.95,3.15,2.52,7.25,1.91
2014.0,31.56,2.33,12.71,16.87,1.63,3.76,2.35,13.95,3.15,2.52,7.26,1.91
2015.0,31.56,2.33,12.71,16.87,1.62,3.76,2.35,13.95,3.16,2.52,7.26,1.91
2016.0,31.56,2.33,12.72,16.87,1.61,3.76,2.35,13.94,3.17,2.52,7.26,1.91
2017.0,31.55,2.33,12.72,16.87,1.61,3.76,2.35,13.94,3.17,2.52,7.27,1.91
2018.0,31.55,2.33,12.72,16.87,1.6,3.76,2.35,13.94,3.18,2.52,7.27,1.91
2019.0,31.55,2.33,12.72,16.87,1.6,3.76,2.35,13.94,3.18,2.52,7.27,1.91
2020.0,31.55,2.33,12.72,16.87,1.6,3.76,2.35,13.94,3.18,2.52,7.27,1.91
