date,crop_perc,dwood_perc,ewood_perc,grass_perc,ice_perc,inwater_perc,loose_rock_perc,mixed_wood_perc,rock_perc,scrub_perc,urban_perc,wetlands_perc
2000.0,69.21,0.92,9.0,2.01,0.0,0.0,0.0,13.71,0.0,0.27,4.87,0.0
2001.0,69.2,0.92,8.97,2.01,0.0,0.0,0.0,13.7,0.0,0.32,4.87,0.0
2002.0,69.19,0.92,8.94,2.01,0.0,0.0,0.0,13.7,0.0,0.37,4.87,0.0
2003.0,69.17,0.92,8.91,2.01,0.0,0.0,0.0,13.69,0.0,0.42,4.88,0.0
2004.0,69.16,0.92,8.87,2.01,0.0,0.0,0.0,13.68,0.0,0.47,4.88,0.0
2005.0,69.15,0.92,8.84,2.01,0.0,0.0,0.0,13.68,0.0,0.52,4.88,0.0
2006.0,69.14,0.92,8.81,2.01,0.0,0.0,0.0,13.67,0.0,0.57,4.88,0.0
2007.0,69.12,1.07,8.44,1.95,0.0,0.0,0.0,13.89,0.0,0.54,5.0,0.0
2008.0,69.09,1.22,8.06,1.89,0.0,0.0,0.0,14.1,0.0,0.51,5.12,0.0
2009.0,69.07,1.38,7.69,1.82,0.0,0.0,0.0,14.32,0.0,0.47,5.25,0.0
2010.0,69.05,1.53,7.31,1.76,0.0,0.0,0.0,14.54,0.0,0.44,5.37,0.0
2011.0,69.02,1.68,6.93,1.7,0.0,0.0,0.0,14.75,0.0,0.41,5.49,0.0
2012.0,69.0,1.83,6.56,1.64,0.0,0.0,0.0,14.97,0.0,0.38,5.61,0.0
2013.0,69.0,1.83,6.56,1.64,0.0,0.0,0.0,14.97,0.0,0.38,5.61,0.0
2014.0,69.0,1.83,6.56,1.64,0.0,0.0,0.0,14.97,0.0,0.38,5.62,0.0
2015.0,69.0,1.83,6.56,1.64,0.0,0.0,0.0,14.97,0.0,0.38,5.62,0.0
2016.0,68.99,1.83,6.56,1.64,0.0,0.0,0.0,14.97,0.0,0.38,5.62,0.0
2017.0,68.99,1.83,6.56,1.64,0.0,0.0,0.0,14.97,0.0,0.38,5.63,0.0
2018.0,68.99,1.83,6.56,1.64,0.0,0.0,0.0,14.97,0.0,0.38,5.63,0.0
2019.0,68.99,1.83,6.56,1.64,0.0,0.0,0.0,14.97,0.0,0.38,5.63,0.0
2020.0,68.99,1.83,6.56,1.64,0.0,0.0,0.0,14.97,0.0,0.38,5.63,0.0
