date,crop_perc,dwood_perc,ewood_perc,grass_perc,ice_perc,inwater_perc,loose_rock_perc,mixed_wood_perc,rock_perc,scrub_perc,urban_perc,wetlands_perc
2000.0,21.76,4.36,13.45,15.87,0.0,0.11,3.06,24.17,0.97,0.0,15.3,0.96
2001.0,22.0,4.52,14.62,15.0,0.0,0.11,2.94,23.48,0.86,0.0,15.57,0.89
2002.0,22.24,4.68,15.8,14.13,0.0,0.11,2.82,22.8,0.76,0.0,15.85,0.82
2003.0,22.48,4.84,16.97,13.27,0.0,0.11,2.7,22.12,0.66,0.0,16.12,0.74
2004.0,22.73,5.0,18.14,12.4,0.0,0.11,2.58,21.43,0.55,0.0,16.39,0.67
2005.0,22.97,5.16,19.32,11.53,0.0,0.11,2.46,20.74,0.45,0.0,16.67,0.6
2006.0,23.21,5.32,20.49,10.66,0.0,0.11,2.34,20.06,0.34,0.0,16.94,0.53
2007.0,22.98,5.59,20.16,10.74,0.0,0.11,2.31,20.02,0.53,0.0,17.03,0.53
2008.0,22.75,5.86,19.83,10.82,0.0,0.11,2.28,19.98,0.72,0.0,17.13,0.53
2009.0,22.52,6.12,19.49,10.91,0.0,0.11,2.25,19.94,0.91,0.0,17.22,0.53
2010.0,22.28,6.39,19.16,10.99,0.0,0.11,2.23,19.9,1.09,0.0,17.31,0.53
2011.0,22.05,6.66,18.83,11.07,0.0,0.11,2.2,19.86,1.28,0.0,17.41,0.53
2012.0,21.82,6.93,18.5,11.15,0.0,0.11,2.17,19.82,1.47,0.0,17.5,0.53
2013.0,21.8,6.93,18.5,11.15,0.0,0.11,2.18,19.81,1.47,0.0,17.52,0.53
2014.0,21.77,6.93,18.5,11.15,0.0,0.11,2.19,19.8,1.47,0.0,17.55,0.53
2015.0,21.75,6.93,18.5,11.15,0.0,0.11,2.2,19.8,1.47,0.0,17.57,0.53
2016.0,21.72,6.93,18.5,11.15,0.0,0.11,2.2,19.79,1.47,0.0,17.6,0.53
2017.0,21.7,6.93,18.5,11.15,0.0,0.11,2.21,19.78,1.47,0.0,17.62,0.53
2018.0,21.67,6.93,18.5,11.15,0.0,0.11,2.22,19.77,1.47,0.0,17.65,0.53
2019.0,21.67,6.93,18.5,11.15,0.0,0.11,2.22,19.77,1.47,0.0,17.65,0.53
2020.0,21.67,6.93,18.5,11.15,0.0,0.11,2.22,19.77,1.47,0.0,17.65,0.53
