date,crop_perc,dwood_perc,ewood_perc,grass_perc,ice_perc,inwater_perc,loose_rock_perc,mixed_wood_perc,rock_perc,scrub_perc,urban_perc,wetlands_perc
2000.0,22.19,11.36,1.27,19.22,0.0,0.0,0.17,34.47,0.0,0.13,11.19,0.0
2001.0,22.18,11.39,1.27,19.23,0.0,0.0,0.18,34.43,0.0,0.13,11.19,0.0
2002.0,22.18,11.42,1.27,19.23,0.0,0.0,0.19,34.39,0.0,0.13,11.18,0.0
2003.0,22.17,11.46,1.27,19.24,0.0,0.0,0.2,34.35,0.0,0.13,11.18,0.0
2004.0,22.16,11.49,1.27,19.25,0.0,0.0,0.21,34.31,0.0,0.13,11.18,0.0
2005.0,22.16,11.52,1.27,19.25,0.0,0.0,0.22,34.27,0.0,0.13,11.17,0.0
2006.0,22.15,11.55,1.27,19.26,0.0,0.0,0.23,34.23,0.0,0.13,11.17,0.0
2007.0,22.96,12.67,1.13,18.53,0.0,0.0,0.23,33.17,0.0,0.11,11.19,0.0
2008.0,23.77,13.79,1.0,17.79,0.0,0.0,0.22,32.12,0.0,0.09,11.21,0.0
2009.0,24.57,14.92,0.86,17.06,0.0,0.0,0.22,31.06,0.0,0.07,11.23,0.0
2010.0,25.38,16.04,0.72,16.33,0.0,0.0,0.22,30.01,0.0,0.04,11.26,0.0
2011.0,26.19,17.16,0.59,15.59,0.0,0.0,0.21,28.95,0.0,0.02,11.28,0.0
2012.0,27.0,18.28,0.45,14.86,0.0,0.0,0.21,27.9,0.0,0.0,11.3,0.0
2013.0,26.98,18.28,0.45,14.87,0.0,0.0,0.23,27.89,0.0,0.0,11.3,0.0
2014.0,26.97,18.27,0.45,14.88,0.0,0.0,0.26,27.88,0.0,0.0,11.3,0.0
2015.0,26.95,18.27,0.45,14.88,0.0,0.0,0.28,27.86,0.0,0.0,11.3,0.0
2016.0,26.94,18.27,0.44,14.89,0.0,0.0,0.3,27.85,0.0,0.0,11.3,0.0
2017.0,26.93,18.26,0.44,14.9,0.0,0.0,0.33,27.84,0.0,0.0,11.3,0.0
2018.0,26.91,18.26,0.44,14.91,0.0,0.0,0.35,27.83,0.0,0.0,11.3,0.0
2019.0,26.91,18.26,0.44,14.91,0.0,0.0,0.35,27.83,0.0,0.0,11.3,0.0
2020.0,26.91,18.26,0.44,14.91,0.0,0.0,0.35,27.83,0.0,0.0,11.3,0.0
