date,crop_perc,dwood_perc,ewood_perc,grass_perc,ice_perc,inwater_perc,loose_rock_perc,mixed_wood_perc,rock_perc,scrub_perc,urban_perc,wetlands_perc
2000.0,0.0,0.54,13.74,38.36,7.66,0.0,10.74,11.84,16.08,0.0,0.0,1.04
2001.0,0.0,0.54,13.78,38.35,7.66,0.0,10.74,11.81,16.08,0.0,0.0,1.04
2002.0,0.0,0.54,13.82,38.34,7.66,0.0,10.74,11.79,16.08,0.0,0.0,1.04
2003.0,0.0,0.54,13.86,38.33,7.66,0.0,10.74,11.76,16.08,0.0,0.0,1.04
2004.0,0.0,0.54,13.89,38.31,7.66,0.0,10.74,11.73,16.08,0.0,0.0,1.04
2005.0,0.0,0.54,13.93,38.3,7.66,0.0,10.74,11.71,16.08,0.0,0.0,1.04
2006.0,0.0,0.54,13.97,38.29,7.66,0.0,10.74,11.68,16.08,0.0,0.0,1.04
2007.0,0.07,1.66,12.13,37.83,7.29,0.0,10.85,12.0,16.45,0.4,0.0,1.31
2008.0,0.14,2.79,10.29,37.37,6.92,0.0,10.96,12.33,16.82,0.8,0.0,1.57
2009.0,0.22,3.91,8.45,36.91,6.55,0.0,11.07,12.66,17.19,1.2,0.0,1.84
2010.0,0.29,5.03,6.61,36.46,6.19,0.0,11.19,12.98,17.56,1.59,0.0,2.11
2011.0,0.36,6.16,4.77,36.0,5.82,0.0,11.3,13.3,17.93,1.99,0.0,2.37
2012.0,0.43,7.28,2.93,35.54,5.45,0.0,11.41,13.63,18.3,2.39,0.0,2.64
2013.0,0.43,7.28,2.93,35.54,5.45,0.0,11.41,13.63,18.3,2.39,0.0,2.64
2014.0,0.43,7.28,2.93,35.54,5.45,0.0,11.41,13.63,18.3,2.39,0.0,2.64
2015.0,0.43,7.28,2.93,35.54,5.45,0.0,11.41,13.63,18.3,2.39,0.0,2.64
2016.0,0.43,7.28,2.93,35.54,5.45,0.0,11.41,13.63,18.3,2.39,0.0,2.64
2017.0,0.43,7.28,2.93,35.54,5.45,0.0,11.41,13.63,18.3,2.39,0.0,2.64
2018.0,0.43,7.28,2.93,35.54,5.45,0.0,11.41,13.63,18.3,2.39,0.0,2.64
2019.0,0.43,7.28,2.93,35.54,5.45,0.0,11.41,13.63,18.3,2.39,0.0,2.64
2020.0,0.43,7.28,2.93,35.54,5.45,0.0,11.41,13.63,18.3,2.39,0.0,2.64
