date,crop_perc,dwood_perc,ewood_perc,grass_perc,ice_perc,inwater_perc,loose_rock_perc,mixed_wood_perc,rock_perc,scrub_perc,urban_perc,wetlands_perc
2000.0,27.71,1.2,14.62,20.93,2.85,4.78,2.08,13.58,5.12,0.91,5.12,1.11
2001.0,27.73,1.19,14.54,20.91,2.85,4.78,2.09,13.6,5.12,0.98,5.13,1.11
2002.0,27.74,1.18,14.45,20.88,2.84,4.78,2.1,13.62,5.11,1.05,5.14,1.12
2003.0,27.76,1.17,14.37,20.86,2.83,4.78,2.1,13.64,5.11,1.11,5.14,1.12
2004.0,27.78,1.16,14.29,20.83,2.83,4.78,2.11,13.67,5.1,1.18,5.15,1.13
2005.0,27.79,1.15,14.2,20.8,2.82,4.78,2.12,13.69,5.09,1.25,5.16,1.14
2006.0,27.81,1.14,14.12,20.78,2.82,4.78,2.13,13.71,5.09,1.32,5.17,1.14
2007.0,27.51,1.29,13.89,20.71,2.74,4.79,2.31,13.54,4.98,1.64,5.22,1.39
2008.0,27.22,1.44,13.66,20.64,2.66,4.79,2.49,13.37,4.87,1.95,5.27,1.63
2009.0,26.92,1.59,13.43,20.58,2.58,4.79,2.67,13.2,4.77,2.27,5.33,1.88
2010.0,26.62,1.75,13.21,20.51,2.49,4.8,2.86,13.02,4.66,2.58,5.38,2.13
2011.0,26.33,1.9,12.98,20.44,2.41,4.8,3.04,12.85,4.55,2.9,5.43,2.37
2012.0,26.03,2.05,12.75,20.37,2.33,4.81,3.22,12.68,4.44,3.21,5.48,2.62
2013.0,26.03,2.05,12.75,20.37,2.32,4.81,3.22,12.68,4.45,3.21,5.48,2.62
2014.0,26.02,2.05,12.75,20.37,2.31,4.81,3.22,12.68,4.46,3.21,5.49,2.62
2015.0,26.02,2.05,12.75,20.37,2.3,4.81,3.22,12.68,4.47,3.21,5.49,2.62
2016.0,26.02,2.05,12.76,20.37,2.29,4.81,3.22,12.67,4.48,3.22,5.49,2.62
2017.0,26.01,2.05,12.76,20.37,2.28,4.81,3.22,12.67,4.49,3.22,5.5,2.62
2018.0,26.01,2.05,12.76,20.37,2.27,4.81,3.22,12.67,4.5,3.22,5.5,2.62
2019.0,26.01,2.05,12.76,20.37,2.27,4.81,3.22,12.67,4.5,3.22,5.5,2.62
2020.0,26.01,2.05,12.76,20.37,2.27,4.81,3.22,12.67,4.5,3.22,5.5,2.62
