date,crop_perc,dwood_perc,ewood_perc,grass_perc,ice_perc,inwater_perc,loose_rock_perc,mixed_wood_perc,rock_perc,scrub_perc,urban_perc,wetlands_perc
2000.0,28.43,0.2,20.4,29.91,0.19,0.88,2.29,9.82,2.04,0.69,4.38,0.78
2001.0,28.43,0.2,20.25,29.89,0.18,0.88,2.29,9.83,2.04,0.86,4.38,0.78
2002.0,28.42,0.19,20.1,29.87,0.18,0.88,2.29,9.83,2.05,1.03,4.39,0.77
2003.0,28.41,0.19,19.95,29.85,0.17,0.88,2.29,9.84,2.05,1.2,4.39,0.77
2004.0,28.41,0.19,19.8,29.83,0.17,0.88,2.29,9.85,2.05,1.37,4.4,0.76
2005.0,28.4,0.18,19.65,29.81,0.17,0.88,2.29,9.85,2.06,1.54,4.41,0.76
2006.0,28.4,0.18,19.5,29.79,0.16,0.88,2.29,9.86,2.06,1.71,4.41,0.75
2007.0,28.15,0.23,19.21,29.68,0.15,0.88,2.36,9.81,1.98,2.09,4.47,0.96
2008.0,27.91,0.29,18.91,29.56,0.14,0.88,2.44,9.76,1.91,2.48,4.54,1.17
2009.0,27.66,0.34,18.62,29.45,0.12,0.88,2.51,9.71,1.83,2.86,4.61,1.38
2010.0,27.42,0.4,18.33,29.34,0.11,0.88,2.58,9.67,1.75,3.25,4.67,1.58
2011.0,27.18,0.46,18.03,29.22,0.1,0.88,2.66,9.62,1.68,3.63,4.73,1.79
2012.0,26.93,0.51,17.74,29.11,0.09,0.88,2.73,9.57,1.6,4.02,4.8,2.0
2013.0,26.93,0.51,17.74,29.11,0.09,0.88,2.73,9.57,1.6,4.02,4.8,2.0
2014.0,26.92,0.51,17.74,29.1,0.09,0.88,2.74,9.57,1.6,4.02,4.81,2.0
2015.0,26.91,0.51,17.74,29.1,0.09,0.88,2.75,9.57,1.6,4.03,4.81,2.0
2016.0,26.91,0.51,17.74,29.1,0.09,0.88,2.75,9.57,1.6,4.03,4.81,2.0
2017.0,26.9,0.51,17.74,29.09,0.09,0.88,2.75,9.57,1.6,4.03,4.82,2.0
2018.0,26.9,0.51,17.74,29.09,0.09,0.88,2.76,9.57,1.6,4.03,4.82,2.0
2019.0,26.9,0.51,17.74,29.09,0.09,0.88,2.76,9.57,1.6,4.03,4.82,2.0
2020.0,26.9,0.51,17.74,29.09,0.09,0.88,2.76,9.57,1.6,4.03,4.82,2.0
