date (yyyy-mm-dd HH:MM:SS),surface temperature [°C]
23.02.1984 12:00,0.3
27.03.1984 12:00,0.7
26.04.1984 12:00,4.0
15.05.1984 12:00,6.1
07.06.1984 12:00,10.6
05.07.1984 12:00,16.1
14.08.1984 12:00,16.7
12.09.1984 12:00,14.0
09.10.1984 12:00,10.8
08.11.1984 12:00,9.4
04.12.1984 12:00,7.0
16.01.1985 12:00,0.4
22.02.1985 12:00,0.8
13.03.1985 12:00,0.8
11.04.1985 12:00,2.5
05.06.1985 12:00,15.9
02.07.1985 12:00,17.2
15.08.1985 12:00,18.6
04.09.1985 12:00,15.8
18.09.1985 12:00,15.5
01.10.1985 12:00,16.8
30.10.1985 12:00,10.9
04.12.1985 12:00,4.5
02.04.1986 12:00,1.8
15.05.1986 12:00,10.5
16.07.1986 12:00,16.6
27.08.1986 12:00,16.1
18.09.1986 12:00,15.6
01.10.1986 12:00,13.9
05.11.1986 12:00,10.9
26.11.1986 12:00,8.1
19.01.1987 12:00,0.6
22.04.1987 12:00,5.7
05.05.1987 12:00,7.6
19.05.1987 12:00,9.1
02.06.1987 12:00,13.9
07.07.1987 12:00,19.2
22.07.1987 12:00,16.5
12.08.1987 12:00,18.7
02.09.1987 12:00,19.4
13.10.1987 12:00,12.2
11.11.1987 12:00,10.3
02.12.1987 12:00,6.2
20.07.1988 12:00,18.3
31.08.1988 12:00,17.3
26.10.1988 12:00,11.6
23.11.1988 12:00,7.3
14.12.1988 12:00,4.6
14.03.1989 12:00,3.5
29.03.1989 12:00,5.0
17.05.1989 12:00,9.8
13.06.1989 12:00,13.2
11.07.1989 12:00,18.9
29.08.1989 12:00,18.5
26.09.1989 12:00,15.7
25.10.1989 12:00,13.9
14.11.1989 12:00,9.1
05.12.1989 12:00,5.2
05.02.1990 12:00,2.8
06.03.1990 12:00,3.7
25.04.1990 12:00,6.6
16.05.1990 12:00,14.2
13.06.1990 12:00,14.0
10.07.1990 12:00,16.4
07.08.1990 12:00,20.5
26.09.1990 12:00,13.8
10.10.1990 12:00,15.2
07.11.1990 12:00,8.9
16.04.1991 12:00,9.0
22.05.1991 12:00,10.7
19.06.1991 12:00,12.6
16.07.1991 12:00,23.6
27.08.1991 12:00,21.4
19.09.1991 12:00,18.8
08.10.1991 12:00,13.9
19.11.1991 12:00,7.2
07.04.1992 12:00,3.8
22.04.1992 12:00,5.7
05.05.1992 12:00,7.7
20.05.1992 12:00,13.8
10.06.1992 12:00,15.3
23.06.1992 12:00,14.1
07.07.1992 12:00,16.0
21.07.1992 12:00,20.4
26.08.1992 12:00,19.8
08.09.1992 12:00,15.6
30.09.1992 12:00,15.4
13.10.1992 12:00,13.2
17.11.1992 12:00,7.1
22.04.1993 12:00,7.6
18.05.1993 12:00,13.6
08.06.1993 12:00,17.1
22.06.1993 12:00,16.5
29.07.1993 12:00,20.1
18.08.1993 12:00,22.0
09.09.1993 12:00,14.3
29.09.1993 12:00,12.4
12.10.1993 12:00,10.2
09.11.1993 12:00,7.2
23.03.1994 12:00,2.6
26.04.1994 12:00,4.9
13.05.1994 12:00,8.0
25.05.1994 12:00,9.0
07.06.1994 12:00,12.3
20.06.1994 12:00,13.2
06.07.1994 12:00,20.5
20.07.1994 12:00,18.2
16.08.1994 12:00,18.6
30.08.1994 12:00,16.8
28.09.1994 12:00,11.7
26.10.1994 12:00,8.4
22.11.1994 12:00,7.2
09.05.1995 12:00,11.0
08.06.1995 12:00,13.2
22.06.1995 12:00,17.7
04.07.1995 12:00,17.6
19.07.1995 12:00,20.7
02.08.1995 12:00,22.3
14.08.1995 12:00,20.7
30.08.1995 12:00,17.1
12.09.1995 12:00,14.4
25.09.1995 12:00,12.8
10.10.1995 12:00,15.5
23.10.1995 12:00,13.2
31.10.1995 12:00,12.9
26.11.1995 12:00,7.7
16.04.1996 12:00,5.6
06.05.1996 12:00,10.4
28.05.1996 12:00,12.9
20.06.1996 12:00,17.7
08.07.1996 12:00,14.2
22.07.1996 12:00,19.0
12.08.1996 12:00,18.1
26.08.1996 12:00,17.9
17.09.1996 12:00,13.0
30.09.1996 12:00,14.7
11.11.1996 12:00,9.6
24.03.1997 12:00,5.2
28.04.1997 12:00,7.5
26.05.1997 12:00,15.4
24.06.1997 12:00,14.3
21.07.1997 12:00,18.3
25.08.1997 12:00,22.7
29.09.1997 12:00,18.2
03.11.1997 12:00,10.2
24.11.1997 12:00,7.3
02.03.1998 12:00,3.1
30.03.1998 12:00,5.3
28.04.1998 12:00,7.8
12.05.1998 12:00,14.7
22.06.1998 12:00,18.1
05.07.1998 12:00,20.6
20.07.1998 12:00,19.3
25.08.1998 12:00,19.4
29.09.1998 12:00,13.9
27.10.1998 12:00,10.4
03.05.1999 12:00,7.6
25.05.1999 12:00,15.6
07.06.1999 12:00,16.0
21.06.1999 12:00,16.4
21.07.1999 12:00,19.0
10.08.1999 12:00,19.8
23.08.1999 12:00,18.8
06.09.1999 12:00,17.5
21.09.1999 12:00,16.6
