date (yyyy-mm-dd HH:MM:SS),surface temperature [°C]
12.09.1941 12:00,17.5
07.10.1941 12:00,15.8
10.11.1941 12:00,6.9
15.12.1941 12:00,4.6
30.03.1942 12:00,3.9
22.04.1942 12:00,10.1
18.05.1942 12:00,17.0
12.06.1942 12:00,19.6
08.07.1942 12:00,22.3
24.08.1942 12:00,20.8
01.10.1942 12:00,18.4
06.01.1943 12:00,3.2
12.03.1943 12:00,5.2
09.09.1947 12:00,20.6
24.06.1948 12:00,18.2
30.03.1949 12:00,6.1
20.04.1949 12:00,16.7
31.05.1949 12:00,16.2
08.07.1949 12:00,20.8
20.07.1949 12:00,21.0
26.08.1949 12:00,20.7
22.09.1949 12:00,20.8
04.11.1949 12:00,9.8
08.12.1949 12:00,6.1
10.01.1950 12:00,3.8
16.02.1950 12:00,3.1
16.03.1950 12:00,4.1
14.04.1950 12:00,6.6
10.05.1950 12:00,13.1
12.06.1950 12:00,23.3
12.07.1950 12:00,22.4
09.08.1950 12:00,22.4
06.09.1950 12:00,19.6
05.10.1950 12:00,14.5
06.11.1950 12:00,9.1
04.12.1950 12:00,5.9
11.09.1952 12:00,16.9
22.01.1953 12:00,0.2
27.03.1953 12:00,7.9
17.04.1953 12:00,7.5
26.05.1953 12:00,20.0
23.06.1953 12:00,21.4
27.07.1953 12:00,23.6
25.08.1953 12:00,21.3
21.09.1953 12:00,18.6
20.10.1953 12:00,13.4
18.11.1953 12:00,8.8
14.12.1953 12:00,5.8
08.02.1954 12:00,1.6
17.03.1954 12:00,4.4
22.04.1954 12:00,6.4
17.05.1954 12:00,15.0
14.06.1954 12:00,17.0
21.07.1954 12:00,20.7
26.08.1954 12:00,17.0
15.09.1954 12:00,17.9
19.10.1954 12:00,12.9
22.11.1954 12:00,7.9
20.12.1954 12:00,5.3
24.01.1955 12:00,2.8
18.07.1955 12:00,23.4
19.09.1955 12:00,17.2
17.02.1956 12:00,0.8
27.03.1956 12:00,4.3
25.04.1956 12:00,11.8
17.05.1956 12:00,15.8
12.06.1956 12:00,17.4
04.07.1956 12:00,19.2
07.08.1956 12:00,19.4
12.09.1956 12:00,17.5
12.10.1956 12:00,13.4
08.11.1956 12:00,7.9
05.12.1956 12:00,4.6
18.02.1958 12:00,3.5
18.03.1958 12:00,2.55
18.04.1958 12:00,6.7
20.05.1958 12:00,16.1
