date,mean summer thermocline depth
1988,8.19
1989,10.15
1990,12.84
1991,13.0
1992,9.75
1993,17.55
1994,12.0
1996,12.6
1997,18.71
1998,14.04
1999,17.16
2000,13.31
2001,17.03
2002,12.01
2003,13.33
2004,11.2
2005,13.45
2006,11.88
2007,13.16
2008,11.7
2009,10.04
2010,10.88
2011,13.55
2012,15.87
2013,9.84
2014,13.64
2015,10.23
2016,11.98
2017,13.2
2018,11.6
2019,9.66
2020,12.8
2021,12.15
2022,14.13
2023,13.19
