date,mean summer bottom temperature
1988,6.22
1989,6.29
1990,6.38
1991,6.28
1992,6.34
1993,6.37
1994,6.41
1996,6.52
1997,6.61
1998,6.67
1999,6.52
2000,6.5
2001,6.58
2002,6.6
2003,6.6
2004,6.57
2005,6.3
2006,6.24
2007,6.26
2008,6.32
2009,6.4
2010,6.48
2011,6.5
2012,6.5
2013,6.54
2014,6.6
2015,6.67
2016,6.64
2017,6.69
2018,6.74
2019,6.78
2020,6.82
2021,6.89
2022,6.95
2023,7.0
