date,mean winter surface temperature
1988,7.7
1989,6.92
1990,7.34
1991,6.7
1992,6.83
1993,6.65
1994,7.12
1997,7.29
1998,7.8
1999,7.05
2000,7.04
2001,7.11
2002,7.01
2003,7.53
2004,7.5
2005,7.2
2006,6.92
2007,8.18
2008,7.7
2009,7.09
2010,7.25
2011,7.14
2012,7.41
2013,7.6
2014,7.18
2015,7.87
2016,8.2
2017,7.71
2018,7.48
2019,7.72
2020,8.26
2021,7.69
2022,7.73
2023,8.71
