date,mean late autumn hypolimnetic oxygen concentration
1988,8.34
1989,8.43
1990,8.66
1991,10.24
1992,8.82
1993,10.3
1994,8.9
1996,8.87
1997,7.89
1998,9.52
1999,9.87
2000,9.09
2001,8.55
2002,8.27
2003,8.79
2004,8.67
2005,7.4
2006,8.6
2007,10.27
2008,9.14
2009,9.27
2010,8.63
2011,8.84
2012,8.71
2013,9.55
2014,9.8
2015,8.78
2016,8.62
2017,9.05
2018,8.95
2019,8.53
2020,8.95
2021,8.67
2022,7.91
2023,9.53
