date,mean annual surface temperature
1989,14.89
1990,15.07
1991,14.14
1992,13.94
1993,13.53
1994,14.45
1997,14.3
1998,14.02
1999,13.8
2000,13.88
2001,13.42
2002,14.61
2003,15.27
2004,14.59
2005,14.67
2006,14.39
2007,14.69
2008,14.03
2009,14.33
2010,13.74
2011,14.67
2012,14.32
2013,13.92
2014,14.66
2015,14.96
2016,15.07
2017,14.64
2018,15.85
2019,14.82
2020,15.32
2021,14.57
2022,15.88
2023,15.27
