date,mean early autumn bottom oxygen concentration
1989,5.76
1990,5.61
1991,7.92
1992,7.07
1993,6.86
1994,6.78
1996,6.06
1997,5.89
1998,5.25
1999,7.95
2000,8.28
2001,7.5
2002,7.54
2003,7.56
2004,7.28
2005,9.14
2006,9.33
2007,8.11
2008,7.12
2009,6.71
2010,6.64
2011,6.39
2012,6.59
2013,6.35
2014,6.02
2015,6.31
2016,4.65
2017,4.34
2018,3.08
2019,3.5
2020,3.81
2021,3.7
2022,3.13
2023,2.96
