date,mean winter Schmidt stability
1988,1.7
1989,0.22
1990,3.0
1991,0.2
1992,0.03
1993,-0.26
1994,0.6
1997,0.7
1998,1.76
1999,-0.15
2000,1.85
2001,-0.67
2002,1.22
2003,1.12
2004,2.13
2005,1.49
2006,1.46
2007,0.69
2008,1.83
2009,0.39
2010,0.31
2011,1.92
2012,1.93
2013,1.35
2014,0.31
2015,1.99
2016,0.27
2017,-0.54
2018,0.23
2019,0.15
2020,1.99
2021,0.06
2022,-0.35
2023,0.19
