date,mean summer Secchi depth
1988,4.6
1989,4.15
1990,7.16
1991,5.57
1992,6.87
1993,8.05
1994,7.09
1995,6.38
1996,5.88
1997,4.19
1998,5.66
1999,6.87
2000,6.58
2001,6.42
2002,6.65
2003,7.6
2004,6.89
2005,6.73
2006,7.99
2007,7.26
2008,5.56
2009,6.18
2010,5.34
2011,2.82
2012,6.74
2013,7.0
2014,6.78
2015,6.25
2016,3.81
2017,5.92
2018,6.29
2019,7.57
2020,4.37
2021,5.05
2022,6.28
2023,8.07
