date,maximum winter-spring mixing depth with salinity (0.005 kgm-3)
1988,53.0
1989,59.0
1990,58.0
1991,133.0
1992,66.0
1993,127.0
1994,75.0
1997,54.0
1998,52.0
1999,360.0
2000,135.0
2001,101.0
2002,65.0
2003,76.0
2004,360.0
2005,266.0
2006,360.0
2007,33.0
2008,55.0
2009,147.0
2010,88.0
2011,69.0
2012,187.0
2013,102.0
2014,62.0
2015,40.0
2016,58.0
2017,91.0
2018,87.0
2019,68.0
2020,41.0
2021,78.0
2022,65.0
2023,60.0
