date,mean spring bottom oxygen concentration
1988,7.26
1989,5.52
1990,5.49
1991,8.62
1992,7.44
1993,6.51
1994,6.74
1996,6.41
1997,6.51
1998,5.45
1999,8.31
2000,9.22
2001,7.78
2002,7.46
2003,7.19
2004,8.99
2005,9.55
2006,9.62
2007,7.81
2008,7.47
2009,7.1
2010,6.81
2011,6.31
2012,6.75
2013,7.19
2014,5.91
2015,6.32
2016,4.76
2017,4.73
2018,3.55
2019,3.84
2020,4.54
2021,4.15
2022,3.64
2023,3.11
