date,mean spring surface oxygen concentration
1988,12.17
1989,11.99
1990,11.36
1991,11.45
1992,11.74
1993,11.97
1994,11.63
1996,12.31
1997,11.81
1998,11.41
1999,12.28
2000,12.48
2001,11.17
2002,11.66
2003,11.75
2004,13.11
2005,10.93
2006,11.14
2007,10.85
2008,11.32
2009,11.59
2010,11.97
2011,12.05
2012,11.46
2013,13.55
2014,12.17
2015,13.21
2016,11.32
2017,11.84
2018,11.23
2019,11.78
2020,10.57
2021,10.94
2022,11.16
2023,10.99
