date,minimum bottom oxygen concentration
1989,4.4
1990,5.0
1991,4.8
1992,6.2
1993,5.6
1994,6.4
1997,5.3
1998,4.7
1999,4.8
2000,7.5
2001,6.9
2002,6.8
2003,6.8
2004,7.0
2005,6.6
2006,8.0
2007,6.5
2008,6.8
2009,6.6
2010,6.2
2011,6.1
2012,5.9
2013,6.0
2014,5.8
2015,5.5
2016,3.2
2017,2.2
2018,1.5
2019,3.2
2020,3.3
2021,3.3
2022,2.5
2023,1.8
