date,mean annual bottom conductivity
1989,143.6
1990,144.37
1991,147.64
1992,147.6
1993,148.81
1994,147.28
1997,146.4
1998,148.38
1999,150.02
2000,148.56
2001,148.71
2002,146.88
2003,145.86
2004,148.22
2005,146.87
2006,150.82
2007,151.1
2008,151.09
2009,152.64
2010,153.17
2011,153.57
2012,153.84
2013,153.65
2014,154.83
2015,153.43
2016,153.46
2017,152.92
2018,153.0
2019,152.79
2020,154.03
2021,153.83
2022,153.62
2023,153.66
