date,mean annual surface conductivity
1989,136.97
1990,142.19
1991,137.7
1992,133.06
1993,132.77
1994,132.24
1997,137.18
1998,136.23
1999,136.52
2000,137.28
2001,132.63
2002,134.97
2003,144.2
2004,140.07
2005,145.21
2006,148.6
2007,145.45
2008,143.08
2009,137.16
2010,139.45
2011,143.16
2012,145.18
2013,138.59
2014,136.03
2015,136.57
2016,140.11
2017,142.12
2018,138.48
2019,139.79
2020,138.6
2021,143.07
2022,155.72
2023,154.88
