date,minimum surface temperature
1989,6.8
1990,7.3
1991,6.69
1992,6.5
1993,6.63
1994,6.72
1997,7.03
1998,7.4
1999,6.62
2000,6.69
2001,6.85
2002,7.0
2003,6.92
2004,6.7
2005,6.6
2006,6.29
2007,7.75
2008,7.6
2009,6.7
2010,6.65
2011,6.8
2012,6.6
2013,6.9
2014,7.12
2015,7.3
2016,7.39
2017,7.09
2018,7.08
2019,7.16
2020,7.85
2021,7.29
2022,7.51
2023,7.77
