date,mean winter Secchi depth
1988,10.81
1989,11.75
1990,10.52
1991,15.94
1992,11.08
1993,12.36
1994,11.54
1995,9.44
1996,12.05
1997,9.99
1998,9.48
1999,13.68
2000,11.78
2001,11.46
2002,14.63
2003,7.7
2004,11.55
2005,11.23
2006,12.29
2007,10.35
2008,8.72
2009,11.35
2010,11.0
2012,9.64
2013,11.0
2014,9.24
2015,10.29
2016,10.64
2017,12.0
2018,11.29
2019,11.29
2020,11.52
2021,9.46
2022,9.75
2023,11.73
