date,mean early autumn thermocline depth
1989,14.38
1990,15.65
1991,15.01
1992,17.53
1993,17.63
1994,14.03
1996,18.45
1997,13.85
1998,18.33
1999,18.61
2000,16.62
2001,18.94
2002,19.22
2003,16.62
2004,13.56
2005,18.51
2006,16.37
2007,16.16
2008,14.88
2009,14.98
2010,19.89
2011,21.42
2012,17.8
2013,15.0
2014,19.9
2015,13.88
2016,13.53
2017,20.26
2018,15.07
2019,13.66
2020,15.3
2021,19.99
2022,15.4
2023,21.27
