date,mean spring Schmidt stability
1988,110.25
1989,67.31
1990,78.59
1991,113.47
1992,103.08
1993,100.24
1994,129.3
1996,218.45
1997,40.44
1998,52.93
1999,150.03
2000,102.68
2001,46.5
2002,88.83
2003,113.14
2004,72.27
2005,60.46
2006,76.41
2007,213.31
2008,55.41
2009,60.38
2010,51.24
2011,138.22
2012,64.84
2013,109.49
2014,182.43
2015,114.36
2016,104.05
2017,139.09
2018,114.37
2019,42.62
2020,308.54
2021,93.48
2022,113.87
2023,68.58
