date,mean early autumn Schmidt stability
1989,810.91
1990,812.87
1991,945.58
1992,540.7
1993,607.62
1994,712.71
1996,461.37
1997,773.3
1998,605.86
1999,640.89
2000,761.19
2001,583.65
2002,557.3
2003,877.69
2004,825.96
2005,717.69
2006,718.39
2007,637.96
2008,697.65
2009,776.74
2010,475.93
2011,530.8
2012,679.88
2013,689.49
2014,670.14
2015,696.24
2016,1008.93
2017,477.88
2018,1037.0
2019,784.81
2020,930.61
2021,578.0
2022,967.77
2023,592.24
