date,mean summer surface temperature
1988,21.27
1989,22.53
1990,22.63
1991,21.57
1992,20.75
1993,19.54
1994,22.16
1996,21.25
1997,18.15
1998,21.94
1999,19.89
2000,22.11
2001,18.3
2002,21.49
2003,24.65
2004,23.47
2005,23.16
2006,23.75
2007,20.65
2008,21.17
2009,21.9
2010,24.36
2011,22.38
2012,21.56
2013,23.04
2014,19.57
2015,23.34
2016,22.03
2017,22.81
2018,23.51
2019,25.06
2020,23.0
2021,21.42
2022,23.44
2023,23.98
