date,mean winter epilimnion 5-10 m oxygen concentration
1988,10.41
1989,10.23
1990,10.21
1991,9.36
1992,10.2
1993,11.06
1994,10.81
1997,10.98
1998,10.16
1999,8.77
2000,10.07
2001,10.02
2002,9.73
2003,9.8
2004,9.87
2005,9.84
2006,9.81
2007,10.44
2008,10.2
2009,10.27
2010,10.03
2012,9.82
2013,10.04
2014,10.38
2015,10.37
2016,9.96
2017,9.81
2018,9.63
2019,9.7
2020,10.2
2021,9.65
2022,9.8
2023,9.99
