date,mean spring bottom temperature
1988,6.14
1989,6.25
1990,6.28
1991,6.22
1992,6.3
1993,6.34
1994,6.4
1996,6.5
1997,6.56
1998,6.62
1999,6.5
2000,6.46
2001,6.5
2002,6.52
2003,6.59
2004,6.55
2005,6.28
2006,6.2
2007,6.2
2008,6.3
2009,6.38
2010,6.41
2011,6.49
2012,6.5
2013,6.5
2014,6.56
2015,6.6
2016,6.62
2017,6.68
2018,6.73
2019,6.78
2020,6.82
2021,6.86
2022,6.93
2023,6.98
