date,mean winter bottom temperature
1988,6.13
1989,6.2
1990,6.25
1991,6.3
1992,6.3
1993,6.35
1994,6.4
1997,6.53
1998,6.6
1999,6.68
2000,6.51
2001,6.51
2002,6.52
2003,6.59
2004,6.59
2005,6.49
2006,6.3
2007,6.22
2008,6.29
2009,6.32
2010,6.43
2011,6.47
2012,6.49
2013,6.5
2014,6.53
2015,6.59
2016,6.61
2017,6.65
2018,6.72
2019,6.75
2020,6.81
2021,6.85
2022,6.92
2023,6.96
