date,mean winter bottom oxygen concentration
1988,6.85
1989,6.26
1990,5.02
1991,4.93
1992,7.4
1993,7.48
1994,6.54
1997,5.92
1998,5.54
1999,5.53
2000,8.01
2001,8.44
2002,7.01
2003,7.08
2004,7.13
2005,7.42
2006,8.06
2007,7.19
2008,7.5
2009,7.14
2010,6.36
2011,6.28
2012,6.08
2013,6.2
2014,6.47
2015,5.73
2016,4.77
2017,5.44
2018,3.7
2019,3.54
2020,3.64
2021,3.71
2022,3.15
2023,2.9
