date,mean summer hypolimnetic oxygen concentration
1988,9.97
1989,9.81
1990,9.23
1991,8.3
1992,9.77
1993,9.52
1994,9.5
1996,8.96
1997,9.78
1998,8.93
1999,9.0
2000,8.67
2001,9.2
2002,8.53
2003,9.33
2004,9.13
2005,8.85
2006,9.34
2007,8.49
2008,9.84
2009,9.44
2010,9.77
2011,8.56
2012,8.99
2013,9.71
2014,9.49
2015,9.53
2016,9.14
2017,8.86
2018,8.91
2019,9.62
2020,9.2
2021,8.89
2022,9.57
2023,8.96
