date,mean autumn surface temperature
1988,15.66
1989,16.71
1990,17.61
1991,15.16
1992,14.59
1993,12.92
1994,14.95
1996,15.39
1997,17.85
1998,14.93
1999,15.06
2000,15.1
2001,15.71
2002,15.86
2003,16.41
2004,16.96
2005,17.33
2006,17.23
2007,16.07
2008,16.45
2009,16.23
2010,15.11
2011,16.1
2012,16.01
2013,15.58
2014,17.6
2015,15.85
2016,17.31
2017,16.3
2018,18.16
2019,17.18
2020,15.71
2021,16.61
2022,18.37
2023,17.06
