date,mean late summer Secchi depth
1988,4.84
1989,4.63
1990,9.65
1991,8.25
1992,6.98
1993,7.24
1994,6.24
1995,6.13
1996,5.63
1997,3.53
1998,4.43
1999,6.39
2000,6.09
2001,7.06
2002,6.95
2003,7.06
2004,6.95
2005,5.54
2006,5.98
2007,6.53
2008,6.9
2009,6.44
2010,6.67
2011,4.21
2012,6.32
2013,6.9
2014,6.52
2015,5.83
2016,4.14
2017,5.77
2018,5.63
2019,9.22
2020,3.85
2021,4.88
2022,4.77
2023,5.92
