date,mean autumn hypolimnetic density
1988,999.8501
1989,999.8411
1990,999.9082
1991,999.6431
1992,999.8235
1993,999.77
1994,999.7804
1996,999.7527
1997,999.7815
1998,999.8126
1999,999.6301
2000,999.8038
2001,999.7426
2002,999.8018
2003,999.8056
2004,999.9122
2005,999.9108
2006,999.8702
2007,999.9101
2008,999.8562
2009,999.7752
2010,999.6552
2011,999.7914
2012,999.855
2013,999.8246
2014,999.9185
2015,999.8516
2016,999.8024
2017,999.8106
2018,999.9224
2019,999.8057
2020,999.7677
2021,999.8319
2022,999.8902
2023,999.7541
