date,mean autumn hypolimnetic oxygen concentration
1988,8.16
1989,8.44
1990,7.97
1991,9.23
1992,7.74
1993,8.75
1994,7.99
1996,8.83
1997,7.82
1998,8.5
1999,9.1
2000,8.12
2001,7.62
2002,7.76
2003,8.19
2004,8.03
2005,7.77
2006,9.36
2007,9.82
2008,8.42
2009,8.59
2010,7.7
2011,6.95
2012,8.11
2013,8.5
2014,9.24
2015,7.68
2016,8.0
2017,7.99
2018,9.35
2019,8.91
2020,8.19
2021,8.3
2022,8.84
2023,8.24
