date,mean late autumn Schmidt stability
1988,80.29
1989,117.87
1990,271.01
1991,10.19
1992,51.26
1993,21.85
1994,64.82
1996,54.82
1997,104.58
1998,30.08
1999,15.21
2000,19.95
2001,83.19
2002,56.02
2003,47.05
2004,129.02
2005,158.01
2006,157.43
2007,85.54
2008,143.94
2009,70.36
2010,24.75
2011,70.54
2012,79.9
2013,54.07
2014,175.26
2015,101.03
2016,113.24
2017,70.37
2018,161.52
2019,118.33
2020,76.27
2021,94.97
2022,170.4
2023,55.03
