date,minimum Secchi depth
1988,3.7
1989,4.0
1990,4.4
1991,3.3
1992,4.8
1993,2.7
1994,4.6
1995,4.1
1996,4.8
1997,2.8
1998,3.6
1999,3.5
2000,2.4
2001,4.8
2002,2.7
2003,5.1
2004,3.5
2005,2.5
2006,4.0
2007,6.0
2008,5.0
2009,4.0
2010,3.6
2011,2.5
2012,4.5
2013,4.5
2014,3.5
2015,4.0
2016,3.5
2017,4.0
2018,3.5
2019,4.5
2020,3.5
2021,4.0
2022,4.0
2023,5.0
