date,mean autumn bottom oxygen concentration
1988,6.85
1989,5.59
1990,5.86
1991,8.16
1992,7.0
1993,6.51
1994,6.64
1996,6.05
1997,6.04
1998,4.77
1999,8.16
2000,8.21
2001,7.56
2002,7.47
2003,7.23
2004,7.77
2005,8.73
2006,8.81
2007,7.15
2008,6.9
2009,6.74
2010,6.62
2011,6.21
2012,6.3
2013,6.16
2014,6.3
2015,6.21
2016,4.24
2017,3.2
2018,2.16
2019,4.0
2020,3.74
2021,3.48
2022,2.98
2023,2.93
