date,minimum bottom temperature
1989,6.2
1990,6.25
1991,6.2
1992,6.3
1993,6.31
1994,6.39
1997,6.53
1998,6.59
1999,6.48
2000,6.42
2001,6.5
2002,6.52
2003,6.58
2004,6.52
2005,6.28
2006,6.2
2007,6.2
2008,6.29
2009,6.3
2010,6.4
2011,6.45
2012,6.48
2013,6.5
2014,6.52
2015,6.58
2016,6.61
2017,6.65
2018,6.72
2019,6.75
2020,6.81
2021,6.85
2022,6.91
2023,6.96
