date,mean summer Schmidt stability
1988,664.16
1989,1081.82
1990,911.27
1991,870.19
1992,801.71
1993,561.8
1994,891.2
1996,726.57
1997,493.7
1998,992.05
1999,639.68
2000,974.53
2001,432.36
2002,783.42
2003,1229.72
2004,1184.04
2005,1170.0
2006,1232.76
2007,733.52
2008,894.12
2009,873.38
2010,1104.54
2011,892.12
2012,910.63
2013,1031.42
2014,711.31
2015,1017.5
2016,879.06
2017,1015.23
2018,1164.67
2019,1115.91
2020,1046.76
2021,851.17
2022,1127.12
2023,1195.94
