date,mean autumn surface oxygen concentration
1988,9.63
1989,9.81
1990,9.49
1991,9.66
1992,9.96
1993,10.01
1994,10.41
1996,10.41
1997,10.7
1998,9.38
1999,10.35
2000,9.55
2001,9.67
2002,9.66
2003,9.29
2004,9.93
2005,9.36
2006,9.32
2007,9.7
2008,9.83
2009,9.84
2010,9.76
2011,9.46
2012,9.41
2013,9.32
2014,10.14
2015,10.11
2016,9.4
2017,9.98
2018,9.9
2019,9.56
2020,9.45
2021,9.48
2022,9.32
2023,9.7
