date,mean annual hypolimnetic density
1989,999.907
1990,999.9378
1991,999.8738
1992,999.9162
1993,999.9128
1994,999.8904
1997,999.8266
1998,999.8891
1999,999.8676
2000,999.9191
2001,999.8002
2002,999.8845
2003,999.8902
2004,999.9344
2005,999.9274
2006,999.913
2007,999.9322
2008,999.9053
2009,999.868
2010,999.8521
2011,999.8691
2012,999.8747
2013,999.895
2014,999.888
2015,999.8942
2016,999.8663
2017,999.8863
2018,999.9229
2019,999.8705
2020,999.8847
2021,999.8815
2022,999.9042
2023,999.8441
