date,mean annual Secchi depth
1988,6.38
1989,7.69
1990,7.98
1991,7.67
1992,7.68
1993,6.62
1994,7.19
1995,7.09
1996,7.26
1997,6.37
1998,7.16
1999,7.43
2000,5.71
2001,7.64
2002,6.82
2003,7.95
2004,7.22
2005,7.81
2006,8.41
2007,7.64
2008,7.19
2009,7.55
2010,7.56
2011,6.45
2012,7.99
2013,7.78
2014,6.36
2015,7.43
2016,7.09
2017,7.81
2018,7.08
2019,7.09
2020,6.31
2021,6.82
2022,7.72
2023,8.16
