date,mean annual bottom temperature
1989,6.27
1990,6.31
1991,6.27
1992,6.33
1993,6.37
1994,6.41
1997,6.58
1998,6.65
1999,6.53
2000,6.5
2001,6.55
2002,6.57
2003,6.59
2004,6.58
2005,6.32
2006,6.22
2007,6.23
2008,6.32
2009,6.39
2010,6.46
2011,6.48
2012,6.51
2013,6.53
2014,6.58
2015,6.62
2016,6.64
2017,6.69
2018,6.74
2019,6.78
2020,6.83
2021,6.88
2022,6.94
2023,7.0
