date,mean spring epilimnion 0-5 m oxygen concentration
1987,11.38
1988,14.4
1989,11.99
1990,13.03
1991,13.05
1992,13.13
1993,12.62
1994,12.66
1995,11.32
1996,14.51
1997,9.6
1998,11.51
1999,13.65
2000,13.73
2001,12.87
2002,12.43
2003,11.35
2004,14.61
2005,12.31
2006,14.57
2007,12.91
2008,12.33
2009,14.0
2010,13.16
2011,12.85
2012,11.41
2013,11.69
2014,11.51
2015,14.13
2016,11.55
2017,10.55
2018,13.93
2019,10.45
2020,10.87
2021,9.19
2022,10.1
2023,10.27
