date,mean summer surface temperature
1987,22.1
1988,23.45
1989,23.62
1990,23.69
1991,24.02
1992,24.05
1993,21.35
1994,25.24
1995,25.18
1996,22.04
1997,21.24
1998,26.74
1999,23.76
2000,22.31
2001,22.01
2002,24.51
2003,27.01
2004,23.82
2005,24.39
2006,26.53
2007,22.54
2008,23.04
2009,24.42
2010,25.12
2011,23.45
2012,25.08
2013,26.34
2014,23.54
2015,25.96
2016,24.63
2017,25.78
2018,25.98
2019,26.4
2020,24.79
2021,24.32
2022,27.19
2023,26.59
