date,mean summer epilimnion 0-5 m oxygen concentration
1987,11.35
1988,11.8
1989,9.47
1990,11.45
1991,11.15
1992,10.86
1993,11.11
1994,10.03
1995,12.11
1996,11.15
1997,10.95
1998,12.28
1999,13.15
2000,11.22
2001,10.74
2002,13.19
2003,11.96
2004,12.03
2005,11.05
2006,12.69
2007,11.99
2008,12.09
2009,11.07
2010,11.03
2011,11.02
2012,10.62
2013,14.28
2014,12.08
2015,11.68
2016,11.54
2017,15.74
2018,11.32
2019,9.83
2020,9.89
2021,9.9
2022,7.95
2023,9.87
