date,mean annual hypolimnetic density
1988,1000.1161
1989,1000.1113
1990,1000.1098
1991,1000.1228
1993,1000.1238
1994,1000.1079
1995,1000.0977
1996,1000.1012
1997,1000.0766
1998,1000.0768
1999,1000.1173
2000,1000.1203
2001,1000.1054
2002,1000.1134
2003,1000.1054
2004,1000.1198
2005,1000.1346
2006,1000.1391
2007,1000.1249
2008,1000.1128
2009,1000.1164
2010,1000.1185
2011,1000.123
2012,1000.1263
2013,1000.1299
2014,1000.1167
2015,1000.1024
2016,1000.0931
2017,1000.1043
2018,1000.1194
2019,1000.1046
2020,1000.0949
