date,mean late autumn hypolimnetic oxygen concentration
1987,2.93
1988,1.95
1989,1.28
1990,0.59
1991,1.03
1992,1.74
1993,1.62
1994,1.52
1995,2.18
1996,1.98
1997,1.03
1998,1.36
1999,3.21
2000,3.64
2001,0.91
2002,1.15
2003,1.56
2004,2.86
2005,4.98
2006,3.81
2007,1.31
2008,0.97
2009,2.65
2010,3.4
2011,3.61
2012,2.34
2013,3.04
2014,0.88
2015,1.48
2016,0.53
2017,1.19
2018,2.01
2019,3.0
2020,0.99
